ts,session_id,turn_index,status,prompt_tokens,completion_tokens,total_tokens,wall_latency_s,ttft_s,running_max_during,kv_pct_max_during,mem_used_max_during,swap_max_during,ramp_event
2026-04-13T16:28:42.102+00:00,0,0,ok,7034,2976,10010,83.653,35.628,1,1.30,74972,7396,S1 joined
2026-04-13T16:29:21.820+00:00,1,0,ok,7825,1770,9595,39.717,2.623,2,2.70,74437,7396,S2 joined
2026-04-13T16:30:12.314+00:00,2,0,ok,7777,1836,9613,50.493,2.472,3,4.20,74424,7396,S3 joined
2026-04-13T16:31:05.036+00:00,1,1,ok,9876,3553,13429,103.216,2.548,4,5.70,74424,7396,
2026-04-13T16:31:28.585+00:00,2,1,ok,9893,2482,12375,76.270,1.352,4,6.10,74344,7396,
2026-04-13T16:31:56.326+00:00,0,1,ok,10319,7000,17319,194.223,2.552,4,6.40,74437,7396,
2026-04-13T16:32:14.567+00:00,3,0,ok,3775,3973,7748,122.252,1.353,4,6.50,74346,7396,S4 joined
2026-04-13T16:33:41.910+00:00,1,2,ok,13766,5082,18848,156.873,0.466,4,7.70,74346,7396,
2026-04-13T16:33:50.173+00:00,2,2,ok,12616,4554,17170,141.588,0.408,4,7.90,74345,7395,
2026-04-13T16:34:18.284+00:00,3,1,ok,7950,3957,11907,123.716,0.866,4,8.40,74344,7395,
2026-04-13T16:34:32.657+00:00,0,2,ok,17689,4959,22648,156.329,0.381,4,8.50,74344,7395,
2026-04-13T16:35:51.891+00:00,2,3,ok,17458,3773,21231,121.717,0.291,4,9.50,74355,7395,
2026-04-13T16:36:25.569+00:00,3,2,ok,12162,3673,15835,127.284,1.379,4,9.90,74431,7395,
2026-04-13T16:36:29.661+00:00,1,3,ok,20191,4918,25109,167.751,0.950,4,10.00,74431,7395,
2026-04-13T16:37:48.595+00:00,2,4,ok,21467,3297,24764,116.703,8.102,4,10.90,74485,7395,
2026-04-13T16:38:28.466+00:00,0,3,ok,23572,6960,30532,235.808,0.596,4,11.30,74485,7395,
2026-04-13T16:38:36.467+00:00,1,4,ok,25492,3818,29310,126.805,0.535,4,11.40,74485,7395,
2026-04-13T16:39:00.487+00:00,3,3,ok,16144,4639,20783,154.917,0.607,4,11.80,74851,7395,
2026-04-13T16:39:43.050+00:00,2,5,ok,25014,3352,28366,114.454,0.353,4,12.20,74851,7390,
2026-04-13T16:40:39.855+00:00,0,4,ok,30888,3818,34706,131.388,0.592,4,13.00,74966,7384,
2026-04-13T16:41:07.171+00:00,3,4,ok,21104,3660,24764,126.683,1.676,4,13.20,74966,7383,
2026-04-13T16:41:49.853+00:00,2,6,ok,28650,3672,32322,126.802,0.512,4,13.70,74966,7383,
2026-04-13T16:42:17.094+00:00,2,7,ok,32617,772,33389,27.240,0.444,4,13.90,74670,7383,
2026-04-13T16:42:35.495+00:00,1,5,ok,29762,6899,36661,239.027,0.560,4,14.10,74966,7384,
2026-04-13T16:43:52.359+00:00,3,5,ok,25079,4688,29767,165.187,0.416,4,15.00,74676,7383,
2026-04-13T16:44:20.766+00:00,2,8,ok,33661,3460,37121,123.671,0.451,4,15.40,74676,7383,
2026-04-13T16:44:38.341+00:00,1,6,ok,37130,3457,40587,122.845,0.536,4,15.40,74676,7383,
2026-04-13T16:44:46.765+00:00,0,5,ok,35127,7000,42127,246.910,0.632,4,15.40,74676,7383,
2026-04-13T16:44:46.887+00:00,0,6,error:HTTPError:HTTP Error 400: Bad Request,0,0,0,0.121,-1.000,,,,,
2026-04-13T16:45:33.351+00:00,3,6,ok,30036,3408,33444,100.990,0.731,4,15.40,76715,7818,
2026-04-13T16:45:45.145+00:00,1,7,ok,41083,2756,43839,66.803,0.911,3,11.80,76715,7818,
